Gene_acc,Gene_id,bsf,pcf,rank_bsf,rank_pcf,Desc,prot_group
0,Tb427.BES40.1,3.29,6.92,302,5941,Tb427.BES40.1,PG0
1,Tb427.BES40.10,7.51,3.53,6247,142,Tb427.BES40.10,PG1
2,Tb11.57.0050,7.51,3.53,6247,142,"expression site-associated gene 3 (ESAG3), frameshifted and degenerate",PG1
3,Tb11.1140,7.51,3.53,6247,142,"expression site-associated gene 3 (ESAG3), degenerate",PG1
4,Tb927.11.19120,7.51,3.53,6247,142,"expression site-associated gene 3 (ESAG3) protein, putative (pseudogene)",PG1
5,Tb927.11.20560,7.51,3.53,6247,142,"expression site-associated gene 3 (ESAG3, pseudogene), putative",PG1
6,Tb927.11.19900,7.51,3.53,6247,142,"expression site-associated gene 3 (ESAG3), degenerate and frameshifted",PG1
7,Tb05.5K5.500,7.51,3.53,6247,142,"expression site-associated gene 3 (ESAG3), degenerate",PG1
8,Tb927.3.160,7.51,3.53,6247,142,"expression site-associated gene 3 (ESAG3), degenerate",PG1
9,Tb927.11.18800,7.51,3.53,6247,142,"expression site-associated gene 3 (ESAG3) protein, putative",PG1
10,Tb10.v4.0255,7.51,3.53,6247,142,"expression site-associated gene 3 (ESAG3, pseudogene), putative",PG1
11,Tb10.v4.0147,7.51,3.53,6247,142,"variant surface glycoprotein (VSG, pseudogene), putative",PG1
12,Tb11.0220,7.51,3.53,6247,142,"expression site-associated gene 3 (ESAG3), degenerate",PG1
13,Tb11.0700,7.51,3.53,6247,142,"expression site-associated gene 3 (ESAG3), degenerate",PG1
14,Tb09.v4.0130,7.51,3.53,6247,142,"expression site-associated gene 3 (ESAG3), fragment",PG1
15,Tb927.11.17180,7.51,3.53,6247,142,"expression site-associated gene 3 (ESAG3), degenerate and frameshifted",PG1
16,Tb09.v4.0033,7.51,3.53,6247,142,"expression site-associated gene 3 (ESAG3), fragment",PG1
17,Tb927.11.20150,7.51,3.53,6247,142,"expression site-associated gene 3 (ESAG3), frameshifted and degenerate",PG1
18,Tb427.BES40.13,3.8,3.61,930,763,Tb427.BES40.13,PG2
19,Tb427.BES40.14,4.57,3.58,1232,518,Tb427.BES40.14,PG3
20,Tb427.BES40.15,5.34,3.5,2275,62,Tb427.BES40.15,PG4
21,Tb427.BES40.16,7.79,3.51,6373,79,Tb427.BES40.16,PG5
22,Tb09.v4.0154,7.79,3.51,6373,79,"expression site-associated gene 3 (ESAG3, pseudogene), putative",PG5
23,Tb427.BES40.18,6.59,3.61,5154,787,Tb427.BES40.18,PG6
24,Tb927.10.100,6.59,3.61,5154,787,"expression site-associated gene 2 (ESAG2), degenerate",PG6
25,Tb427.BES40.2,7.74,3.51,6354,80,Tb427.BES40.2,PG7
26,Tb427.BES40.20,7.04,3.59,5798,583,Tb427.BES40.20,PG8
27,Tb927.10.20,7.04,3.59,5798,583,"expression site-associated gene 1 (ESAG1) protein, putative",PG8
28,Tb09.v4.0065,7.04,3.59,5798,583,"expression site-associated gene 1 (ESAG 1), putative",PG8
29,Tb427.BES40.22,9.8,3.59,6643,538,Tb427.BES40.22,PG9
30,Tb427.BES40.3,8.02,3.62,6465,882,Tb427.BES40.3,PG10
31,Tb427.BES40.4,7.57,3.59,6287,541,Tb427.BES40.4,PG11
32,Tb427.BES40.7,5.83,4.95,3415,2514,Tb427.BES40.7,PG12
33,Tb427.BES40.8,6.65,3.59,5258,572,Tb427.BES40.8,PG13
34,Tb927.7.7510,6.65,3.59,5258,572,hypothetical protein,PG13
35,Tb927.7.7510,6.65,3.59,5258,572,hypothetical protein,PG13
36,Tb927.11.17590,6.65,3.59,5258,572,"variant surface glycoprotein (VSG), frameshifted and point mutation",PG13
37,Tb427.BES40.9,6.63,3.74,5221,1565,Tb427.BES40.9,PG14
38,Tb04.24M18.150,4.99,3.59,1671,552,"hypothetical protein, conserved",PG15
39,Tb927.5.4450,5.28,6.3,2165,5092,"hypothetical protein, conserved",PG16
40,Tb05.5K5.100,5.28,6.3,2165,5092,"hypothetical protein, conserved",PG16
41,Tb927.5.4460,7.12,6.55,5900,5499,"major vault protein, putative",PG17
42,Tb05.5K5.110,7.12,6.55,5900,5499,"major vault protein, putative",PG17
43,Tb927.5.4470,6.01,5.72,3894,3830,"hypothetical protein, conserved",PG18
44,Tb05.5K5.120,6.01,5.72,3894,3830,"hypothetical protein, conserved",PG18
45,Tb927.5.4480,7.34,7.09,6129,6081,"paraflagellar rod component par4, putative",PG19
46,Tb05.5K5.130,7.34,7.09,6129,6081,"paraflagellar rod component par4, putative",PG19
47,Tb927.5.4500,7.75,6.97,6361,5989,"ras-like small GTPase, putative",PG20
48,Tb05.5K5.150,7.75,6.97,6361,5989,"small GTP-binding protein, putative",PG20
49,Tb927.5.4520,5.85,4.67,3485,2286,Kinetochore interacting protein 1,PG21
50,Tb05.5K5.160,5.85,4.67,3485,2286,"hypothetical protein, conserved",PG21
51,Tb927.5.4560,7.31,6.1,6104,4703,"guanine deaminase, putative",PG22
52,Tb11.v5.0409,7.31,6.1,6104,4703,"guanine deaminase, putative",PG22
53,Tb05.5K5.200,7.31,6.1,6104,4703,"guanine deaminase, putative",PG22
54,Tb05.5K5.210,6.61,3.68,5191,1320,hypothetical protein,PG23
55,Tb927.5.4570,6.61,3.68,5191,1320,Flagellum adhesion protein 3,PG23
56,Tb927.5.4580,3.39,3.64,599,1021,Flagellum adhesion protein 3,PG24
57,Tb05.5K5.220,3.39,3.64,599,1021,hypothetical protein,PG24
58,Tb927.5.4600,4.77,3.54,1408,221,"expression site-associated gene 3 (ESAG3) protein, putative",PG25
59,Tb11.v5.0367,4.77,3.54,1408,221,"expression site-associated gene (ESAG) protein, putative",PG25
60,Tb05.5K5.240,4.77,3.54,1408,221,"expression site-associated gene 3 (ESAG3) protein, putative",PG25
61,Tb927.5.4380,7.12,6.56,5890,5513,Kinetoplastid-specific Protein Phosphatase 1,PG26
62,Tb05.5K5.30,7.12,6.56,5890,5513,"serine/threonine protein phosphatase, putative",PG26
63,Tb927.5.4390,7.64,6.87,6322,5892,"hypothetical protein, conserved",PG27
64,Tb05.5K5.40,7.64,6.87,6322,5892,"hypothetical protein, conserved",PG27
65,Tb927.5.4400,6.48,5.58,4968,3531,"hypothetical protein, conserved",PG28
66,Tb05.5K5.50,6.48,5.58,4968,3531,"hypothetical protein, conserved",PG28
